Vendor ID,Vendor Name,Country,Territorial Scope,Environment,Type of Service,International Transfer,Cookie Max Age (days),Data Retention (days)
66,adsquare GmbH,Germany,"AT, BE, CZ, DK, FI, FR, DE, GR, IE, IT, NL, NO, PL, PT, ES, SE, CH, GB",Native App (Mobile),"Verification Tool, DMP / Data Provider, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs, Supplementary measures",,400
205,Adssets AB,Sweden,"AT, CZ, DK, FI, FR, DE, IT, MT, NL, NO, PL, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","Ad Serving, Content Delivery Network",No,,
999,ADSTOURS SAS,France,FR,Web,"Ad Serving, Campaign Analytics",No,729,60
1417,Adswag B.V.,Netherlands,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",No,365,30
507,Adswizz INC,Romania,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Content Delivery Network, Campaign Analytics, Other","Adequacy Decision, SCCs, Supplementary measures",90,90
779,Adtarget Teknoloji A.S.,Turkey,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Buyer",SCCs,93,
410,Adtelligent Inc.,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Other","SCCs, Supplementary measures",93,90
326,ADTIMING TECHNOLOGY PTE. LTD,Singapore,GB,"Web, Native App (Mobile)",DSP,No,30,30
827,Adtriba GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,Campaign Analytics,No,730,
771,adtron technologies GmbH,Germany,"AT, DE, PL, CH","Web, Native App (Mobile)","Ad Serving, Content Delivery Network, Campaign Analytics",No,0*,7
1163,ADTTRIBUTION Inc,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DMP / Data Provider, Identity Resolution Service, Audience Analytics","Adequacy Decision, SCCs",365,365
199,ADUX,France,"BE, FR, DE, GR, IT, NL, PT, ES, GB","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Ad Serving, Header Bidding Service",No,720,365
195,advanced store GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","SSP, DSP, Ad Serving, DMP / Data Provider, Other",No,365,60
1268,"Adventive Tech, Inc.",United States,"DE, GB","Web, Native App (Mobile)","Ad Serving, Campaign Analytics","Adequacy Decision, SCCs",100,4320
27,ADventori SAS,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","Ad Serving, Campaign Analytics",No,90,
1071,Adventure Media SARL,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","DSP, Ad Serving, Campaign Analytics",No,3650,365
798,Adverticum cPlc.,Hungary,HU,"Web, Native App (Mobile)",Ad Serving,No,730,0**
1287,Advertising.Tech FZ-LLC,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)",DSP,SCCs,731,2190
822,Adverty AB (publ),Sweden,SE,"Native App (Mobile), Native App (CTV)","Verification Tool, Ad Serving, Campaign Analytics",SCCs,,390
1022,AdView,Hong Kong,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Native App (Mobile), Native App (CTV)",SSP,Adequacy Decision,,15
900,Advisible AB,Sweden,SE,Web,"SSP, DSP, Ad Serving, Header Bidding Service, Content Delivery Network, Campaign Analytics",No,365,90
1280,Adwatch S.L.,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","Verification Tool, Campaign Analytics",No,,30
959,adWMG,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service",No,90,90
1330,"AdXcel, Inc. dba ArtsAI",United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","Website Analytics, Campaign Analytics",Adequacy Decision,30,365
746,Adxperience SAS,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, Campaign Analytics",No,,90
259,ADYOULIKE SA,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service",No,365,60
723,Adzymic Creavibes,Singapore,"BE, DK, EE, FR, IT, NO, ES, GB","Web, Native App (Mobile)",Ad Serving,SCCs,365,365
193,Affle Iberia SL,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, Campaign Analytics",SCCs,730,180
1342,Affle Inc,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Native App (Mobile), Native App (CTV)",DSP,No,,180
1279,"Aflorithmic Labs, LTD",United Kingdom,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","Ad Serving, Content Delivery Network",No,0*,90
